Title,Author,Category,Sub Category
Shoe Dog,Phil Knight,Business,Memoir
"Ski, Inc. 2020",Chris Diamond,Business,
Skin in the Game: Hidden Asymmetries in Daily Life,Nassim Nicholas Taleb,Science,
Snow Crash,Neal Stephenson,Fiction,
Softwar: A Novel Theory on Power Projection and the National Strategic Significance of Bitcoin,Jason Paul Lowery ,History & Politics,
Start Something That Matters,Blake Mycoskie,Business,Memoir
Steve Jobs,Walter Isaacson,Business,Memoir
Strength Training Anatomy,Frederic Delavier,Science,
Stubborn Attachments,Tyler Cowen,Business,Economics
Sum: Forty Tales from the Afterlives,David Eagleman,Fiction,
"Superintelligence: Paths, Dangers, Strategies",Nick Bostrom ,Science,
"Surely You're Joking, Mr. Feynman",Richard Feynman,Science,Memoir
The 4-Hour Body,Timothy Ferriss,Personal Exploration & Skills,
The 5 Types of Wealth: A Transformative Guide to Design Your Dream Life,Sahil Bloom,Personal Exploration & Skills,
The AirBNB Story,Leigh Gallagher,Business,Profile
The Alchemy of Finance,George Soros,Personal Finance & Investing,
The Baseball Uncyclopedia,"Michael Kun, Howard Bloom",Sports,
The Bed of Procrustes: Philosophical and Practical Aphorisms,Nassim Nicholas Taleb,Personal Exploration & Skills,Philosophy
The Bible - Book of Exodus,Unknown,Religion,
The Bible - Book of Genesis,Unknown,Religion,
The Big Miss: My Years Coaching Tiger Woods,Hank Haney,Sports,Memoir
"The Big Picture: On the origins of life, meaning, and the universe itself",Sean Carroll,Science,Physics
The Bitcoin Standard,Saifedean Ammous,Business,Economics
The Boiling Moat: Urgent Steps to Defend Taiwan,Matt Pottinger ,History & Politics,
The Catcher In The Rye,J.D. Salinger,Fiction,
The CEO Pay Machine,Steven Clifford,Business,
The Coddling of the American Mind: How Good Intentions and Bad Ideas Are Setting Up a Generation for Failure,"Greg Lukianoff, Jonathan Haidt",History & Politics,
The Collapse of Complex Societies,Joseph Tainter,History & Politics,
The Complete Stories of Isaac Asimov,Isaac Asimov,Fiction,
The Courage to Be Disliked,Ichiro Kishimi ,Personal Exploration & Skills,
The Death of Public School,Cara Fitzpatrick,History & Politics,
The Deficit Myth,Stephanie Kelton,History & Politics,
The Doors of Perception,Aldous Huxley,Personal Exploration & Skills,Memoir
The Dorito Effect: The Surprising New Truth About Food and Flavor,Mark Schatzker,Science,
The End of History and the Last Man,Francis Fukuyama,History & Politics,
The Federalist Papers,Charles R. Kesler,History & Politics,
The Fourth Turning: An American Prophecy - What the Cycles of History Tell Us About America's Next Rendezvous with Destiny,"William Strauss, Neil Howe ",History & Politics,
The Google Story,David A. Vise,Business,Profile
The Great Depression: A Diary,Benjamin Roth,History & Politics,
The Great Stagnation,Tyler Cowen,Business,Economics
The Greatest Trade Ever: The Behind-The-Scenes Story Of How John Paulson Defied Wall Street,Gregory Zuckerman,Business,Profile
The Hard Thing About Hard Things,Ben Horowitz,Business,Memoir
The Hundred-Year Marathon: China's Secret Strategy to Replace America as the Global Superpower,Michael Pillsbury,History & Politics,
The Innovator's Dilemma,Clayton M. Christensen,Business,
The Intelligent Investor,Benjamin Graham,Personal Finance & Investing,
The Joy Of Less,Francine Jay,Personal Exploration & Skills,
The Last Season,Phil Jackson,Sports,Memoir
The Mamba Mentality,Kobe Bryant,Sports,Memoir
The Managerial Revolution: What is Happening in the World,James Burnham,History & Politics,
The Network State: How To Start a New Country,Balaji Srinivasan,History & Politics,
The Number: How the Drive for Quarterly Earning Corrupted Wall Street and Corporate America,Alex Berenson,Business,
The Nvidia Way: Jensen Huang and the Making of a Tech Giant,Tae Kim,Business,Profile
The Phoenix Effect,"Carter Pate, Harlan Platt",Business,
The Price of Time: The Real Story of Interest,Edward Chancellor,Business,Economics
The Prince,Niccolò Machiavelli,History & Politics,
"The Prize: The Epic Quest for Oil, Money & Power",Daniel Yergin,History & Politics,
The Psychology of Money,Morgan Housel,Personal Finance & Investing,
The Rap Yearbook,Shea Serrano,Entertainment,
The Rational Optimist: How Prosperity Evolves,Matt Ridley,Science,
The Ride of A Lifetime,Robert Iger,Business,Memoir
The Road to Serfdom,Friedrich Hayek,Business,Economics
The Roving Mind,Isaac Asimov ,Misc. Non-fiction,
"The Scaling Era: An Oral History of AI, 2019 - 2025","Dwarkesh Patel, Gavin Leech",Science,
The Search: How Google And Its Rivals Rewrote The Rules Of Business And Transformed Our Culture,John Battelle,Business,Profile
The Secret,Rhonda Byrne,Personal Exploration & Skills,
The Signal And The Noise: Why So Many Prediction Fail But Some Don't,Nate Silver,Science,Math & Statistics
The Sovereign Individual,"James Dale Davidson, William Rees-Mogg",History & Politics,
The Space Barons,Christian Davenport,Business,Profile
"The Technological Republic: Hard Power, Soft Belief, and the Future of the West","Alexander C. Karp, Nicholas W. Zamiska",Business,Memoir
The Tell-Tale Heart and Other Stories,Edgar Allan Poe,Fiction,
The Thank You Economy,Gary Vaynerchuk,Business,
The Three-Body Problem,"Cixin Liu, Ken Liu",Fiction,
The Tipping Point,Malcolm Gladwell,Science,
The Unaccountability Machine: Why Big Systems Make Terrible Decisions - and How The World Lost its Mind,Dan Davies,Business,Economics
The Winner Within: A Life Plan for Team Players,Pat Riley,Sports,Memoir
"The Witches: Salem, 1692",Stacy Schiff,History & Politics,
The Wolf of Wall Street,Jordan Belfort,Personal Finance & Investing,Memoir
The World Is Flat: A Brief History of the Twenty-first Century,Thomas L. Friedman,History & Politics,
Thinking in Bets,Annie Duke,Business,Economics
Thinking Slow and Fast,Daniel Kahneman,Science,Psychology
This Is Your Mind on Plants,Michael Pollan,Science,
This Phenomenal Life,Misha Maynerick Blaise,Personal Exploration & Skills,
Those Guys Have All The Fun: Inside The World of ESPN,"James Andrew Miller, Tom Shales",Entertainment,Oral History
Tired of Winning: Donald Trump and the End of the Grand Old Party,Jonathan Karl,History & Politics,
To Sell Is Human: The Surprising Truth About Moving Others,Daniel H. Punk,Science,Psychology
Uncontrolled Spread: Why COVID-19 Crushed Us and How We Can Defeat the Next Pandemic,Scott Gottlieb,History & Politics,
Understanding Executive Compensation: A Practical Guide for Decision Makers,"Irving S. Becker, William M. Gereck",Personal Exploration & Skills,
Unequal Health: How Inequality Contributes To Health Or Illness,Grace Budrys,Business,Economics
Unit X: How the Pentagon and Silicon Valley Are Transforming the Future of War,"Raj M. Shah, Christopher Kirchhoff ",History & Politics,
Unmasked,Andy Ngo,History & Politics,
Unshakeable: Your Financial Freedom Playbook,Tony Robbins,Personal Finance & Investing,
"Upper Left Cities: A Cultural Atlas of San Francisco, Portland, and Seattle","Hunter Shobe , David Banis",Misc. Non-fiction,
Venture Deals: Be Smarter than your Lawyer and Venture Capitalist,"Brad Feld, Jason Mendelson",Business,
War Room: Legacy of Bill Belichick and the Art of Building the Perfect Team,Michael Holley,Sports,Profile
What the Anti-Federalists Were For,Herbert J. Storing,History & Politics,
What Works on Wall Street,James P. O'Shaughnessy,Personal Finance & Investing,
What's Our Problem?: A Self-Help Book for Societies,Tim Urban,History & Politics,
Where Are the Customers' Yachts? Or A Good Hard Look at Wall Street,Fred Schwed ,Personal Finance & Investing,
Where'd You Get Those?,Bobbito Garcia,Entertainment,
While America Aged,Roger Lowenstein,History & Politics,
Who Knew,Barry Diller,Business,Memoir
Who Knew,Barry Diller,Business,Memoir
Wild Ride: Inside Uber's Quest for World Domination,Adam Lashinsky,Business,Profile
Work Rules! Insights from Inside Google ,Laszlo Buck,Business,Memoir
"Zero to One: Notes on Startups, or How to Build the Future",Peter Thiel,Business,Memoir
